,Rank,Country,Name,Publisher,Category,Rating,Price,Rating_count,Date
0,1,Russia,Universe Splitter,Aerfish LLC,Entertainment,4.25,199.0,16,2024-12-30
1,2,Russia,Don't catch Cats,洪跃 管,Entertainment,4.57,15.0,7,2024-12-30
2,3,Russia,Бомба - игры для компании,"Lunapp, TOO",Entertainment,3.97,99.0,33,2024-12-30
3,4,Russia,Маленький Котенок: Моя Кошечка,Squeakosaurus ug & co. kg,Entertainment,4.3,499.0,1063,2024-12-30
4,5,Russia,ЯСтар - Oldify - Old Face App,Apptly LLC,Entertainment,4.57,99.0,145,2024-12-30
5,6,Russia,TimeLine - Travel back in time,Patrick Kunvatanagarn,Entertainment,4.94,2.0,18,2024-12-30
6,7,Russia,OIIA CAT,Christian Navarrete,Entertainment,4.5,99.0,2,2024-12-30
7,8,Russia,Countdown App,Ryan Boyling,Entertainment,3.2,99.0,1897,2024-12-30
8,9,Russia,AVPlayer,EPLAYWORKS,Entertainment,3.73,249.0,420,2024-12-30
9,10,Russia,Shorts Blocker for YouTube,Yevhen Tretiakov,Entertainment,3.86,99.0,7,2024-12-30
10,11,Russia,nPlayer,Newin Inc.,Entertainment,4.47,449.0,579,2024-12-30
11,12,Russia,ARGun2018,"ShenZhen Lenze Technology Co,.Ltd.",Entertainment,3.17,99.0,18,2024-12-30
12,13,Russia,nPlayer Plus,Newin Inc.,Entertainment,4.61,799.0,1013,2024-12-30
13,14,Russia,Pocket God,Bolt Creative,Entertainment,4.5,99.0,24,2024-12-30
14,15,Russia,I Dig It Remastered,"InMotion Software, LLC",Entertainment,2.05,249.0,21,2024-12-30
15,16,Russia,Toca Hair Salon Me,Toca Boca AB,Entertainment,3.73,449.0,55,2024-12-30
16,17,Russia,My PlayHome,PlayHome Software Ltd,Entertainment,4.73,349.0,48,2024-12-30
17,18,Russia,My PlayHome Stores,PlayHome Software Ltd,Entertainment,4.82,249.0,17,2024-12-30
18,19,Russia,My PlayHome Hospital,PlayHome Software Ltd,Entertainment,4.17,249.0,24,2024-12-30
