,Rank,Country,Name,Publisher,Category,Rating,Price,Rating_count,Date
0,1,Singapore,PewPewPew - Fingergun,承远 李,Entertainment,5.0,0.98,3,2024-12-30
1,2,Singapore,Pocket God,Bolt Creative,Entertainment,3.0,0.98,15,2024-12-30
2,3,Singapore,Universe Splitter,Aerfish LLC,Entertainment,5.0,2.98,1,2024-12-30
3,4,Singapore,Ghostly Detector,Kai Chi Tsao,Entertainment,5.0,0.98,2,2024-12-30
4,5,Singapore,完蛋！我被美女包围了！,"GUANGZHOU XIAOYOU CONTENT INTERACTIVE ENTERTAINMENT CO., LTD.",Entertainment,0.0,0.98,0,2024-12-30
5,6,Singapore,Merge Watermelon 4 Watch,长金 胡,Entertainment,0.0,0.98,0,2024-12-30
6,7,Singapore,Bingo Generator & Caller,Marc Bouwman,Entertainment,0.0,0.98,0,2024-12-30
7,8,Singapore,Groic : Listen music togther,Sambhav Jain,Entertainment,5.0,0.98,6,2024-12-30
8,9,Singapore,Myasian TV,Quynh Dau,Entertainment,3.0,2.98,2,2024-12-30
9,10,Singapore,freeland,力 杨,Entertainment,4.0,2.98,1,2024-12-30
10,11,Singapore,Vidi · Media Center,Plata o Plomo AB,Entertainment,0.0,6.98,0,2024-12-30
11,12,Singapore,IPTV Smart Pro - 4K Live TV,Mehmet Akif Saroglu,Entertainment,0.0,3.98,0,2024-12-30
12,13,Singapore,Quartermaster,Sean Rogers,Entertainment,3.0,9.98,2,2024-12-30
13,14,Singapore,Audio Assistant for Avalon,Omar Mustafa,Entertainment,3.5,0.98,4,2024-12-30
14,15,Singapore,RenpyReader,Ludan Cui,Entertainment,0.0,5.98,0,2024-12-30
15,16,Singapore,brick break for watch,活鹏 麦,Entertainment,0.0,0.98,0,2024-12-30
16,17,Singapore,Akinator VIP,Elokence,Entertainment,4.3,5.98,10,2024-12-30
17,18,Singapore,nPlayer,Newin Inc.,Entertainment,4.69,6.98,64,2024-12-30
18,19,Singapore,Digital Magic Trick,Mikael Montier,Entertainment,4.0,2.98,1,2024-12-30
19,20,Singapore,8 Nights,Jonathan Judelson,Entertainment,0.0,0.98,0,2024-12-30
20,21,Singapore,AVPlayer,EPLAYWORKS,Entertainment,4.09,3.98,22,2024-12-30
21,22,Singapore,1500 Ringtones Unlimited - Download the best iPhone Ringtones,Mobgen Apps Inc,Entertainment,1.0,0.98,1,2024-12-30
22,23,Singapore,OPlayer - video player,"Suzhou Totoro Network Technology Co., Ltd.",Entertainment,4.76,3.98,82,2024-12-30
23,24,Singapore,VLC Streamer Pro,Hobbyist Software Limited,Entertainment,4.79,9.98,28,2024-12-30
24,25,Singapore,Custom Alert Tones & Sounds,Mobgen Apps Inc,Entertainment,4.0,0.98,4,2024-12-30
25,1,Singapore,PewPewPew - Fingergun,承远 李,Entertainment,5.0,0.98,3,2024-12-31
26,2,Singapore,Pocket God,Bolt Creative,Entertainment,3.0,0.98,15,2024-12-31
27,3,Singapore,Alien10,Saddiq Rahim,Entertainment,5.0,2.98,6,2024-12-31
28,4,Singapore,iComics,XD Digital Pty Ltd,Entertainment,4.82,0.98,38,2024-12-31
29,5,Singapore,iSTB,Nihal Ahmed,Entertainment,5.0,19.98,2,2024-12-31
30,6,Singapore,Disney Stickers: Moana 2,Disney,Entertainment,0.0,2.98,0,2024-12-31
31,7,Singapore,Merge Watermelon 4 Watch,长金 胡,Entertainment,0.0,0.98,0,2024-12-31
32,8,Singapore,Universe Splitter,Aerfish LLC,Entertainment,5.0,2.98,1,2024-12-31
33,9,Singapore,Ghostly Detector,Kai Chi Tsao,Entertainment,5.0,0.98,2,2024-12-31
